11h55m48s	 2.6480e+017	 1.3032e+017	-7.0016e-001	 1.1124e-002	  4.918792e+004
11h56m48s	 2.6316e+017	 1.2989e+017	-7.0037e-001	 1.1119e-002	  4.158539e+004
11h57m48s	 2.6926e+017	 1.2988e+017	-7.0000e-001	 1.1132e-002	  4.931869e+004
11h58m48s	 2.5933e+017	 1.2980e+017	-6.9985e-001	 1.1138e-002	  5.004552e+004
11h59m48s	 2.6449e+017	 1.3051e+017	-7.0048e-001	 1.1116e-002	  4.514253e+004
12h00m48s	 2.7338e+017	 1.3017e+017	-7.0032e-001	 1.1109e-002	  4.374241e+004
12h01m48s	 2.3589e+017	 1.3158e+017	-7.0473e-001	 1.1086e-002	  2.968150e+004
12h02m48s	 2.5363e+017	 1.3047e+017	-6.9989e-001	 1.1138e-002	  4.603208e+004
12h03m48s	 2.6899e+017	 1.3038e+017	-6.9996e-001	 1.1129e-002	  4.778806e+004
12h04m48s	 2.6329e+017	 1.2992e+017	-7.0066e-001	 1.1119e-002	  4.193560e+004
12h05m48s	 2.7390e+017	 1.2996e+017	-6.9992e-001	 1.1123e-002	  4.914608e+004
12h06m48s	 2.5742e+017	 1.2970e+017	-6.9961e-001	 1.1138e-002	  5.031602e+004
12h07m48s	 2.7019e+017	 1.2988e+017	-7.0164e-001	 1.1115e-002	  3.999952e+004
12h08m48s	 2.6743e+017	 1.2983e+017	-7.0026e-001	 1.1129e-002	  4.621237e+004
12h09m50s	 2.6907e+017	 1.2990e+017	-6.9969e-001	 1.1122e-002	  5.050603e+004
12h10m48s	 2.6514e+017	 1.2999e+017	-7.0063e-001	 1.1114e-002	  4.173192e+004
12h11m48s	 2.6131e+017	 1.3006e+017	-6.9994e-001	 1.1131e-002	  4.914023e+004
12h12m48s	 2.6818e+017	 1.2998e+017	-7.0029e-001	 1.1120e-002	  4.487457e+004
12h13m48s	 2.6353e+017	 1.3003e+017	-7.0044e-001	 1.1128e-002	  4.465549e+004
12h14m48s	 2.6942e+017	 1.3024e+017	-7.0073e-001	 1.1121e-002	  4.355753e+004
12h15m48s	 2.6094e+017	 1.3021e+017	-7.0089e-001	 1.1116e-002	  4.065377e+004
12h16m48s	 2.6671e+017	 1.3012e+017	-7.0005e-001	 1.1126e-002	  4.887242e+004
